sample_id,latitude,longitude,region_id,region,donor,Accipitridae,Spotted sandpiper,Western grebe,Mandarin duck,Aix_sp.,Alosa_sp.,Ambystoma_sp.,Mallard,Anas_sp.,Anatidae,Anaxyrus_sp.,Greylag goose,Chuck-will's-widow,Anura,American bullfrog,Artiodactyla,Greater scaup,Aves (class),Northern short-tailed shrew,Cattle,Common goldeneye,Rough-legged hawk,Red-shouldered hawk,Broad-winged hawk,Buteo_sp.,Northern cardinal,North American beaver,Veery,Catharus_sp.,Killdeer,Common nighthawk,Southern redbelly dace,Long-tailed duck,Northern bobwhite,Columbidae,Common raven,Japanese quail,Cricetidae,North American least shrew,Trumpeter swan,Mute swan,Cypriniformes,Virginia opossum,Emydidae,Horned lark,American coot,Galliformes,Chicken,Southern flying squirrel,Evening grosbeak,Hirundinidae,Barn swallow,Ictaluridae,Thirteen-lined ground squirrel,Mississippi kite,Loggerhead shrike,Laridae,Larus_sp.,Vega gull,Black rail,Leporidae,River otter,Groundhog,Melanerpes woodpecker,Wild turkey,Song sparrow,Prairie vole,Meadow vole,Woodland vole,Microtus_sp.,Muridae,House mouse,Mus_sp.,Least weasel,Mustelidae,Long-tailed weasel,Neogale_sp.,Mink,Helmeted guineafowl,White-tailed deer,Muskrat,European rabbit,Ruddy duck,Osprey,Parulidae,Passer_sp.,Passerellidae,Passeriformes,White-footed mouse,Deermice,Peromyscus_sp.,Phasianidae,Ring-necked pheasant,Picidae,Pine grosbeak,Roseate spoonbill,Horned grebe,Eared grebe,Podicipedidae,Pied-billed grebe,Raccoon,Ranidae,Norway rat,Rodentia,Sciuridae,Eastern gray squirrel,Fox squirrel,Sciurus_sp.,Scolopacidae,Masked shrew,Soricidae,Chipping sparrow,Eurasian collared-dove,Sturnella_sp.,European starling,Wild boar,Eastern cottontail,Southern bog lemming,Eastern chipmunk,Red squirrel,Badger,Pond slider,Spotted redshank,Willet,Turdidae,American robin,Red-eyed vireo,White-winged dove
3-05-185,40.72265966,-87.45546372,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
3-05-562,40.69351633,-87.48188308,1,W_IN,coyote,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3-06-195,40.62948482,-87.22898781,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
3-06-321,40.65741128,-87.22980733,1,W_IN,coyote,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3-06-521,40.67898795,-87.2420343,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3-07-101,40.67771869,-86.98090398,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3-07-209,40.70848991,-87.02378797,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
3-07-296,40.67766323,-87.00170357,1,W_IN,coyote,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1
3-07-379,40.72736938,-87.02428003,1,W_IN,coyote,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
3-07-545,40.67754707,-86.90139643,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0
3-08-248,40.89518117,-87.42520337,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
